===== XGBoost Model Results =====

Hyperparameters:
objective: multi:softmax
num_class: 12
max_depth: 2
learning_rate: 0.05
lambda: 3
alpha: 1
subsample: 0.8
colsample_bytree: 0.7
seed: 42

Optimal Boosting Rounds: 120

Cross-Validation Results:
     train-mlogloss-mean  train-mlogloss-std  train-merror-mean  train-merror-std  test-mlogloss-mean  test-mlogloss-std  test-merror-mean  test-merror-std
           7       0.98      0.89      0.93       200
           8       0.87      0.94      0.91       200
           9       0.97      0.81      0.88       200
          10       0.88      0.91      0.89       200
          11       0.87      0.95      0.91       200

    accuracy                           0.91      2400
   macro avg       0.92      0.91      0.91      2400
weighted avg       0.92      0.91      0.91      2400


===== Learning Curve Data =====
Train Size: 0.10, Train Accuracy: 0.9281, Validation Accuracy: 0.8850
Train Size: 0.20, Train Accuracy: 0.9224, Validation Accuracy: 0.8992
Train Size: 0.30, Train Accuracy: 0.9142, Validation Accuracy: 0.9017
Train Size: 0.40, Train Accuracy: 0.9112, Validation Accuracy: 0.9033
Train Size: 0.50, Train Accuracy: 0.9113, Validation Accuracy: 0.9075
Train Size: 0.60, Train Accuracy: 0.9120, Validation Accuracy: 0.9062
Train Size: 0.70, Train Accuracy: 0.9121, Validation Accuracy: 0.9083
Train Size: 0.80, Train Accuracy: 0.9120, Validation Accuracy: 0.9100
Train Size: 0.90, Train Accuracy: 0.9123, Validation Accuracy: 0.9096
